"","trial","ppt","J","K","y"
"250",10,21,"J1","K1",1
"251",11,21,"J1","K1",1
"252",12,21,"J1","K1",1
"253",1,22,"J1","K1",1
"254",2,22,"J1","K1",1
"255",3,22,"J1","K1",1
"256",4,22,"J1","K1",1
"257",5,22,"J1","K1",0
"258",6,22,"J1","K1",1
"259",7,22,"J1","K1",1
"260",8,22,"J1","K1",1
"261",9,22,"J1","K1",1
"262",10,22,"J1","K1",1
"263",11,22,"J1","K1",1
"264",12,22,"J1","K1",1
"265",1,23,"J1","K1",1
"266",2,23,"J1","K1",0
"267",3,23,"J1","K1",1
"268",4,23,"J1","K1",1
"269",5,23,"J1","K1",1
"270",6,23,"J1","K1",1
"271",7,23,"J1","K1",1
"272",8,23,"J1","K1",1
"273",9,23,"J1","K1",1
"274",10,23,"J1","K1",1
"275",11,23,"J1","K1",1
"276",12,23,"J1","K1",1
"277",1,24,"J1","K1",1
"278",2,24,"J1","K1",1
"279",3,24,"J1","K1",1
"280",4,24,"J1","K1",1
"281",5,24,"J1","K1",1
"282",6,24,"J1","K1",1
"283",7,24,"J1","K1",1
"284",8,24,"J1","K1",1
"285",9,24,"J1","K1",1
"286",10,24,"J1","K1",1
"287",11,24,"J1","K1",1
"288",12,24,"J1","K1",1
"289",1,25,"J1","K1",1
"290",2,25,"J1","K1",1
"291",3,25,"J1","K1",1
"292",4,25,"J1","K1",1
"293",5,25,"J1","K1",1
"294",6,25,"J1","K1",1
"295",7,25,"J1","K1",1
"296",8,25,"J1","K1",1
"297",9,25,"J1","K1",1
"298",10,25,"J1","K1",1
"299",11,25,"J1","K1",1
"300",12,25,"J1","K1",1
"301",1,26,"J1","K1",1
"302",2,26,"J1","K1",1
"303",3,26,"J1","K1",1
"304",4,26,"J1","K1",1
"305",5,26,"J1","K1",1
"306",6,26,"J1","K1",1
"307",7,26,"J1","K1",1
"308",8,26,"J1","K1",1
"309",9,26,"J1","K1",1
"310",10,26,"J1","K1",1
"311",11,26,"J1","K1",1
"312",12,26,"J1","K1",1
"313",1,27,"J1","K1",1
"314",2,27,"J1","K1",1
"315",3,27,"J1","K1",1
"316",4,27,"J1","K1",1
"317",5,27,"J1","K1",1
"318",6,27,"J1","K1",1
"319",7,27,"J1","K1",1
"320",8,27,"J1","K1",1
"321",9,27,"J1","K1",1
"322",10,27,"J1","K1",1
"323",11,27,"J1","K1",1
"324",12,27,"J1","K1",1
"325",1,28,"J1","K1",1
"326",2,28,"J1","K1",1
"327",3,28,"J1","K1",1
"328",4,28,"J1","K1",1
"329",5,28,"J1","K1",1
"330",6,28,"J1","K1",1
"331",7,28,"J1","K1",1
"332",8,28,"J1","K1",1
"333",9,28,"J1","K1",1
"334",10,28,"J1","K1",1
"335",11,28,"J1","K1",1
"336",12,28,"J1","K1",1
"337",1,29,"J1","K1",0
"338",2,29,"J1","K1",1
"339",3,29,"J1","K1",0
"340",4,29,"J1","K1",1
"341",5,29,"J1","K1",0
"342",6,29,"J1","K1",1
"343",7,29,"J1","K1",1
"344",8,29,"J1","K1",1
"345",9,29,"J1","K1",1
"346",10,29,"J1","K1",1
"347",11,29,"J1","K1",1
"348",12,29,"J1","K1",1
"349",1,30,"J1","K1",1
"350",2,30,"J1","K1",1
"351",3,30,"J1","K1",1
"352",4,30,"J1","K1",1
"353",5,30,"J1","K1",1
"354",6,30,"J1","K1",1
"355",7,30,"J1","K1",1
"356",8,30,"J1","K1",1
"357",9,30,"J1","K1",1
"358",10,30,"J1","K1",1
"359",11,30,"J1","K1",1
"360",12,30,"J1","K1",0
"361",1,1,"J2","K1",1
"362",2,1,"J2","K1",0
"363",3,1,"J2","K1",1
"364",4,1,"J2","K1",1
"365",5,1,"J2","K1",1
"366",6,1,"J2","K1",1
"367",7,1,"J2","K1",1
"368",8,1,"J2","K1",0
"369",9,1,"J2","K1",0
"370",10,1,"J2","K1",1
"371",11,1,"J2","K1",1
"372",12,1,"J2","K1",1
"373",1,2,"J2","K1",1
"374",2,2,"J2","K1",0
"375",3,2,"J2","K1",1
"376",4,2,"J2","K1",0
"377",5,2,"J2","K1",0
"378",6,2,"J2","K1",0
"379",7,2,"J2","K1",1
"380",8,2,"J2","K1",1
"381",9,2,"J2","K1",1
"382",10,2,"J2","K1",0
"383",11,2,"J2","K1",0
"384",12,2,"J2","K1",1
"385",1,3,"J2","K1",0
"386",2,3,"J2","K1",1
"387",3,3,"J2","K1",0
"388",4,3,"J2","K1",1
"389",5,3,"J2","K1",0
"390",6,3,"J2","K1",1
"391",7,3,"J2","K1",0
"392",8,3,"J2","K1",1
"393",9,3,"J2","K1",1
"394",10,3,"J2","K1",0
"395",11,3,"J2","K1",1
"396",12,3,"J2","K1",1
"397",1,4,"J2","K1",1
"398",2,4,"J2","K1",1
"399",3,4,"J2","K1",1
"400",4,4,"J2","K1",1
"401",5,4,"J2","K1",1
"402",6,4,"J2","K1",1
"403",7,4,"J2","K1",1
"404",8,4,"J2","K1",1
"405",9,4,"J2","K1",1
"406",10,4,"J2","K1",1
"407",11,4,"J2","K1",1
"408",12,4,"J2","K1",1
"409",1,5,"J2","K1",1
"410",2,5,"J2","K1",1
"411",3,5,"J2","K1",0
"412",4,5,"J2","K1",1
"413",5,5,"J2","K1",1
"414",6,5,"J2","K1",1
"415",7,5,"J2","K1",1
"416",8,5,"J2","K1",1
"417",9,5,"J2","K1",1
"418",10,5,"J2","K1",0
"419",11,5,"J2","K1",1
"420",12,5,"J2","K1",0
"421",1,6,"J2","K1",0
"422",2,6,"J2","K1",0
"423",3,6,"J2","K1",1
"424",4,6,"J2","K1",1
"425",5,6,"J2","K1",0
"426",6,6,"J2","K1",1
"427",7,6,"J2","K1",1
"428",8,6,"J2","K1",0
"429",9,6,"J2","K1",0
"430",10,6,"J2","K1",0
"431",11,6,"J2","K1",0
"432",12,6,"J2","K1",0
"433",1,7,"J2","K1",1
"434",2,7,"J2","K1",1
"435",3,7,"J2","K1",1
"436",4,7,"J2","K1",1
"437",5,7,"J2","K1",1
"438",6,7,"J2","K1",0
"439",7,7,"J2","K1",1
"440",8,7,"J2","K1",0
"441",9,7,"J2","K1",1
"442",10,7,"J2","K1",1
"443",11,7,"J2","K1",1
"444",12,7,"J2","K1",1
"445",1,8,"J2","K1",0
"446",2,8,"J2","K1",1
"447",3,8,"J2","K1",0
"448",4,8,"J2","K1",1
"449",5,8,"J2","K1",1
"450",6,8,"J2","K1",1
"451",7,8,"J2","K1",1
"452",8,8,"J2","K1",1
"453",9,8,"J2","K1",1
"454",10,8,"J2","K1",0
"455",11,8,"J2","K1",0
"456",12,8,"J2","K1",0
"457",1,9,"J2","K1",1
"458",2,9,"J2","K1",0
"459",3,9,"J2","K1",0
"460",4,9,"J2","K1",1
"461",5,9,"J2","K1",0
"462",6,9,"J2","K1",0
"463",7,9,"J2","K1",0
"464",8,9,"J2","K1",0
"465",9,9,"J2","K1",0
"466",10,9,"J2","K1",0
"467",11,9,"J2","K1",1
"468",12,9,"J2","K1",0
"469",1,10,"J2","K1",1
"470",2,10,"J2","K1",1
"471",3,10,"J2","K1",0
"472",4,10,"J2","K1",0
"473",5,10,"J2","K1",1
"474",6,10,"J2","K1",1
"475",7,10,"J2","K1",0
"476",8,10,"J2","K1",0
"477",9,10,"J2","K1",1
"478",10,10,"J2","K1",0
"479",11,10,"J2","K1",1
"480",12,10,"J2","K1",0
"481",1,11,"J2","K1",0
"482",2,11,"J2","K1",1
"483",3,11,"J2","K1",1
"484",4,11,"J2","K1",1
"485",5,11,"J2","K1",1
"486",6,11,"J2","K1",0
"487",7,11,"J2","K1",1
"488",8,11,"J2","K1",1
"489",9,11,"J2","K1",1
"490",10,11,"J2","K1",1
"491",11,11,"J2","K1",1
"492",12,11,"J2","K1",1
"493",1,12,"J2","K1",1
"494",2,12,"J2","K1",1
"495",3,12,"J2","K1",1
"496",4,12,"J2","K1",0
"497",5,12,"J2","K1",1
"498",6,12,"J2","K1",1
"499",7,12,"J2","K1",1
"500",8,12,"J2","K1",1
"501",9,12,"J2","K1",1
"502",10,12,"J2","K1",1
"503",11,12,"J2","K1",1
"504",12,12,"J2","K1",1
"505",1,13,"J2","K1",1
"506",2,13,"J2","K1",1
"507",3,13,"J2","K1",1
"508",4,13,"J2","K1",1
"509",5,13,"J2","K1",1
"510",6,13,"J2","K1",1
"511",7,13,"J2","K1",1
"512",8,13,"J2","K1",1
"513",9,13,"J2","K1",1
"514",10,13,"J2","K1",0
"515",11,13,"J2","K1",1
"516",12,13,"J2","K1",1
"517",1,14,"J2","K1",1
"518",2,14,"J2","K1",0
"519",3,14,"J2","K1",1
"520",4,14,"J2","K1",1
"521",5,14,"J2","K1",1
"522",6,14,"J2","K1",1
"523",7,14,"J2","K1",0
"524",8,14,"J2","K1",0
"525",9,14,"J2","K1",1
"526",10,14,"J2","K1",0
"527",11,14,"J2","K1",1
"528",12,14,"J2","K1",1
"529",1,15,"J2","K1",0
"530",2,15,"J2","K1",0
"531",3,15,"J2","K1",0
"532",4,15,"J2","K1",1
"533",5,15,"J2","K1",1
"534",6,15,"J2","K1",1
"535",7,15,"J2","K1",1
"536",8,15,"J2","K1",0
"537",9,15,"J2","K1",0
"538",10,15,"J2","K1",1
"539",11,15,"J2","K1",0
"540",12,15,"J2","K1",1
"541",1,16,"J2","K1",1
"542",2,16,"J2","K1",0
"543",3,16,"J2","K1",0
"544",4,16,"J2","K1",1
"545",5,16,"J2","K1",0
"546",6,16,"J2","K1",1
"547",7,16,"J2","K1",0
"548",8,16,"J2","K1",1
"549",9,16,"J2","K1",0
"550",10,16,"J2","K1",0
"551",11,16,"J2","K1",0
"552",12,16,"J2","K1",1
"553",1,17,"J2","K1",1
"554",2,17,"J2","K1",1
"555",3,17,"J2","K1",1
"556",4,17,"J2","K1",0
"557",5,17,"J2","K1",1
"558",6,17,"J2","K1",1
"559",7,17,"J2","K1",1
"560",8,17,"J2","K1",1
"561",9,17,"J2","K1",1
"562",10,17,"J2","K1",1
"563",11,17,"J2","K1",1
"564",12,17,"J2","K1",0
"565",1,18,"J2","K1",0
"566",2,18,"J2","K1",0
"567",3,18,"J2","K1",0
"568",4,18,"J2","K1",1
"569",5,18,"J2","K1",1
"570",6,18,"J2","K1",1
"571",7,18,"J2","K1",1
"572",8,18,"J2","K1",1
"573",9,18,"J2","K1",1
"574",10,18,"J2","K1",0
"575",11,18,"J2","K1",1
"576",12,18,"J2","K1",1
"577",1,19,"J2","K1",1
"578",2,19,"J2","K1",0
"579",3,19,"J2","K1",1
"580",4,19,"J2","K1",1
"581",5,19,"J2","K1",1
"582",6,19,"J2","K1",1
"583",7,19,"J2","K1",1
"584",8,19,"J2","K1",0
"585",9,19,"J2","K1",0
"586",10,19,"J2","K1",1
"587",11,19,"J2","K1",1
"588",12,19,"J2","K1",1
"589",1,20,"J2","K1",0
"590",2,20,"J2","K1",1
"591",3,20,"J2","K1",1
"592",4,20,"J2","K1",0
"593",5,20,"J2","K1",1
"594",6,20,"J2","K1",1
"595",7,20,"J2","K1",0
"596",8,20,"J2","K1",0
"597",9,20,"J2","K1",1
"598",10,20,"J2","K1",1
"599",11,20,"J2","K1",1
"600",12,20,"J2","K1",1
"601",1,21,"J2","K1",0
"602",2,21,"J2","K1",1
"603",3,21,"J2","K1",0
"604",4,21,"J2","K1",0
"605",5,21,"J2","K1",0
"606",6,21,"J2","K1",0
"607",7,21,"J2","K1",1
"608",8,21,"J2","K1",0
"609",9,21,"J2","K1",0
"610",10,21,"J2","K1",1
"611",11,21,"J2","K1",1
"612",12,21,"J2","K1",1
"613",1,22,"J2","K1",0
"614",2,22,"J2","K1",0
"615",3,22,"J2","K1",0
"616",4,22,"J2","K1",1
"617",5,22,"J2","K1",0
"618",6,22,"J2","K1",0
"619",7,22,"J2","K1",1
"620",8,22,"J2","K1",1
"621",9,22,"J2","K1",1
"622",10,22,"J2","K1",1
"623",11,22,"J2","K1",1
"624",12,22,"J2","K1",0
"625",1,23,"J2","K1",1
"626",2,23,"J2","K1",1
"627",3,23,"J2","K1",1
"628",4,23,"J2","K1",1
"629",5,23,"J2","K1",1
"630",6,23,"J2","K1",0
"631",7,23,"J2","K1",1
"632",8,23,"J2","K1",1
"633",9,23,"J2","K1",1
"634",10,23,"J2","K1",0
"635",11,23,"J2","K1",1
"636",12,23,"J2","K1",1
"637",1,24,"J2","K1",1
"638",2,24,"J2","K1",1
"639",3,24,"J2","K1",0
"640",4,24,"J2","K1",1
"641",5,24,"J2","K1",1
"642",6,24,"J2","K1",0
"643",7,24,"J2","K1",1
"644",8,24,"J2","K1",0
"645",9,24,"J2","K1",1
"646",10,24,"J2","K1",1
"647",11,24,"J2","K1",1
"648",12,24,"J2","K1",1
"649",1,25,"J2","K1",1
"650",2,25,"J2","K1",1
"651",3,25,"J2","K1",1
"652",4,25,"J2","K1",1
"653",5,25,"J2","K1",0
"654",6,25,"J2","K1",0
"655",7,25,"J2","K1",1
"656",8,25,"J2","K1",1
"657",9,25,"J2","K1",1
"658",10,25,"J2","K1",0
"659",11,25,"J2","K1",1
"660",12,25,"J2","K1",1
"661",1,26,"J2","K1",1
"662",2,26,"J2","K1",1
"663",3,26,"J2","K1",1
"664",4,26,"J2","K1",1
"665",5,26,"J2","K1",1
"666",6,26,"J2","K1",0
"667",7,26,"J2","K1",1
"668",8,26,"J2","K1",1
"669",9,26,"J2","K1",1
"670",10,26,"J2","K1",0
"671",11,26,"J2","K1",1
"672",12,26,"J2","K1",1
"673",1,27,"J2","K1",1
"674",2,27,"J2","K1",1
"675",3,27,"J2","K1",1
"676",4,27,"J2","K1",1
"677",5,27,"J2","K1",1
"678",6,27,"J2","K1",1
"679",7,27,"J2","K1",1
"680",8,27,"J2","K1",1
"681",9,27,"J2","K1",0
"682",10,27,"J2","K1",1
"683",11,27,"J2","K1",1
"684",12,27,"J2","K1",0
"685",1,28,"J2","K1",1
"686",2,28,"J2","K1",1
"687",3,28,"J2","K1",1
"688",4,28,"J2","K1",1
"689",5,28,"J2","K1",1
"690",6,28,"J2","K1",1
"691",7,28,"J2","K1",1
"692",8,28,"J2","K1",0
"693",9,28,"J2","K1",1
"694",10,28,"J2","K1",1
"695",11,28,"J2","K1",1
"696",12,28,"J2","K1",1
"697",1,29,"J2","K1",1
"698",2,29,"J2","K1",1
"699",3,29,"J2","K1",1
"700",4,29,"J2","K1",1
"701",5,29,"J2","K1",1
"702",6,29,"J2","K1",1
"703",7,29,"J2","K1",0
"704",8,29,"J2","K1",1
"705",9,29,"J2","K1",1
"706",10,29,"J2","K1",0
"707",11,29,"J2","K1",1
"708",12,29,"J2","K1",1
"709",1,30,"J2","K1",1
"710",2,30,"J2","K1",1
"711",3,30,"J2","K1",0
"712",4,30,"J2","K1",1
"713",5,30,"J2","K1",1
"714",6,30,"J2","K1",1
"715",7,30,"J2","K1",0
"716",8,30,"J2","K1",0
"717",9,30,"J2","K1",0
"718",10,30,"J2","K1",0
"719",11,30,"J2","K1",1
"720",12,30,"J2","K1",1
"721",1,1,"J1","K2",1
"722",2,1,"J1","K2",1
"723",3,1,"J1","K2",1
"724",4,1,"J1","K2",1
"725",5,1,"J1","K2",1
"726",6,1,"J1","K2",1
"727",7,1,"J1","K2",1
"728",8,1,"J1","K2",1
"729",9,1,"J1","K2",1
"730",10,1,"J1","K2",1
"731",11,1,"J1","K2",1
"732",12,1,"J1","K2",1
"733",1,2,"J1","K2",1
"734",2,2,"J1","K2",1
"735",3,2,"J1","K2",1
"736",4,2,"J1","K2",1
"737",5,2,"J1","K2",1
"738",6,2,"J1","K2",0
"739",7,2,"J1","K2",1
"740",8,2,"J1","K2",1
"741",9,2,"J1","K2",1
"742",10,2,"J1","K2",1
"743",11,2,"J1","K2",1
"744",12,2,"J1","K2",0
"745",1,3,"J1","K2",1
"746",2,3,"J1","K2",1
"747",3,3,"J1","K2",1
"748",4,3,"J1","K2",1
"749",5,3,"J1","K2",1
"750",6,3,"J1","K2",1
"751",7,3,"J1","K2",1
"752",8,3,"J1","K2",1
"753",9,3,"J1","K2",1
"754",10,3,"J1","K2",1
"755",11,3,"J1","K2",1
"756",12,3,"J1","K2",1
"757",1,4,"J1","K2",1
"758",2,4,"J1","K2",1
"759",3,4,"J1","K2",1
"760",4,4,"J1","K2",1
"761",5,4,"J1","K2",1
"762",6,4,"J1","K2",1
"763",7,4,"J1","K2",1
"764",8,4,"J1","K2",1
"765",9,4,"J1","K2",1
"766",10,4,"J1","K2",1
"767",11,4,"J1","K2",1
"768",12,4,"J1","K2",1
"769",1,5,"J1","K2",1
"770",2,5,"J1","K2",1
"771",3,5,"J1","K2",1
"772",4,5,"J1","K2",1
"773",5,5,"J1","K2",1
"774",6,5,"J1","K2",1
"775",7,5,"J1","K2",1
"776",8,5,"J1","K2",1
"777",9,5,"J1","K2",1
"778",10,5,"J1","K2",1
"779",11,5,"J1","K2",1
"780",12,5,"J1","K2",1
"781",1,6,"J1","K2",1
"782",2,6,"J1","K2",0
"783",3,6,"J1","K2",1
"784",4,6,"J1","K2",1
"785",5,6,"J1","K2",0
"786",6,6,"J1","K2",1
"787",7,6,"J1","K2",1
"788",8,6,"J1","K2",1
"789",9,6,"J1","K2",1
"790",10,6,"J1","K2",1
"791",11,6,"J1","K2",1
"792",12,6,"J1","K2",1
"793",1,7,"J1","K2",1
"794",2,7,"J1","K2",1
"795",3,7,"J1","K2",0
"796",4,7,"J1","K2",1
"797",5,7,"J1","K2",1
"798",6,7,"J1","K2",1
"799",7,7,"J1","K2",1
"800",8,7,"J1","K2",1
"801",9,7,"J1","K2",1
"802",10,7,"J1","K2",1
"803",11,7,"J1","K2",1
"804",12,7,"J1","K2",1
"805",1,8,"J1","K2",1
"806",2,8,"J1","K2",1
"807",3,8,"J1","K2",1
"808",4,8,"J1","K2",1
"809",5,8,"J1","K2",1
"810",6,8,"J1","K2",1
"811",7,8,"J1","K2",1
"812",8,8,"J1","K2",1
"813",9,8,"J1","K2",1
"814",10,8,"J1","K2",1
"815",11,8,"J1","K2",1
"816",12,8,"J1","K2",1
"817",1,9,"J1","K2",1
"818",2,9,"J1","K2",0
"819",3,9,"J1","K2",0
"820",4,9,"J1","K2",0
"821",5,9,"J1","K2",1
"822",6,9,"J1","K2",1
"823",7,9,"J1","K2",1
"824",8,9,"J1","K2",1
"825",9,9,"J1","K2",1
"826",10,9,"J1","K2",1
"827",11,9,"J1","K2",0
"828",12,9,"J1","K2",1
"829",1,10,"J1","K2",1
"830",2,10,"J1","K2",0
"831",3,10,"J1","K2",1
"832",4,10,"J1","K2",1
"833",5,10,"J1","K2",1
"834",6,10,"J1","K2",1
"835",7,10,"J1","K2",0
"836",8,10,"J1","K2",1
"837",9,10,"J1","K2",1
"838",10,10,"J1","K2",1
"839",11,10,"J1","K2",1
"840",12,10,"J1","K2",0
"841",1,11,"J1","K2",1
"842",2,11,"J1","K2",1
"843",3,11,"J1","K2",1
"844",4,11,"J1","K2",1
"845",5,11,"J1","K2",0
"846",6,11,"J1","K2",1
"847",7,11,"J1","K2",1
"848",8,11,"J1","K2",1
"849",9,11,"J1","K2",1
"850",10,11,"J1","K2",1
"851",11,11,"J1","K2",1
"852",12,11,"J1","K2",0
"853",1,12,"J1","K2",1
"854",2,12,"J1","K2",1
"855",3,12,"J1","K2",1
"856",4,12,"J1","K2",1
"857",5,12,"J1","K2",0
"858",6,12,"J1","K2",1
"859",7,12,"J1","K2",1
"860",8,12,"J1","K2",1
"861",9,12,"J1","K2",1
"862",10,12,"J1","K2",1
"863",11,12,"J1","K2",1
"864",12,12,"J1","K2",1
"865",1,13,"J1","K2",1
"866",2,13,"J1","K2",1
"867",3,13,"J1","K2",1
"868",4,13,"J1","K2",1
"869",5,13,"J1","K2",1
"870",6,13,"J1","K2",1
"871",7,13,"J1","K2",1
"872",8,13,"J1","K2",1
"873",9,13,"J1","K2",1
